"Date","M14154USM144SNBR"
1917-07-01,5217
1917-08-01,NA
1917-09-01,5285
1917-10-01,NA
1917-11-01,NA
1917-12-01,4721
1918-01-01,5486
1918-02-01,NA
1918-03-01,5323
1918-04-01,NA
1918-05-01,5151
1918-06-01,NA
1918-07-01,5258
1918-08-01,NA
1918-09-01,5519
1918-10-01,NA
1918-11-01,5370
1918-12-01,NA
1919-01-01,6124
1919-02-01,NA
1919-03-01,5995
1919-04-01,NA
1919-05-01,6270
1919-06-01,NA
1919-07-01,6310
1919-08-01,NA
1919-09-01,6877
1919-10-01,NA
1919-11-01,NA
1919-12-01,7025
1920-01-01,7108
1920-02-01,NA
1920-03-01,7289
1920-04-01,NA
1920-05-01,7216
1920-06-01,NA
1920-07-01,7184
1920-08-01,NA
1920-09-01,7194
1920-10-01,NA
1920-11-01,NA
1920-12-01,6873
1921-01-01,6600
1921-02-01,NA
1921-03-01,6388
1921-04-01,NA
1921-05-01,6100
1921-06-01,NA
1921-07-01,5970
1921-08-01,NA
1921-09-01,5979
1921-10-01,NA
1921-11-01,NA
1921-12-01,NA
1922-01-01,5882
1922-02-01,NA
1922-03-01,5940
1922-04-01,NA
1922-05-01,6040
1922-06-01,NA
1922-07-01,6359
1922-08-01,NA
1922-09-01,NA
1922-10-01,6541
1922-11-01,NA
1922-12-01,NA
1923-01-01,6494
1923-02-01,NA
1923-03-01,NA
1923-04-01,6577
1923-05-01,NA
1923-06-01,NA
1923-07-01,6772
