"Date","MDLNM"
2020-05-01,12213
2020-06-01,12462.4
2020-07-01,12592.5
2020-08-01,12677.1
2020-09-01,12810.9
2020-10-01,12940.7
2020-11-01,12922.1
2020-12-01,12610.3
2021-01-01,12719.8
2021-02-01,12725.2
2021-03-01,12925.4
2021-04-01,13178.8
2021-05-01,13075.8
2021-06-01,12964.6
2021-07-01,12981
2021-08-01,13126
2021-09-01,13294.7
2021-10-01,13350.6
2021-11-01,13536.5
2021-12-01,13687.9
2022-01-01,13657.7
2022-02-01,13694.2
2022-03-01,13823.7
2022-04-01,13763.5
2022-05-01,13428.6
2022-06-01,13413.6
2022-07-01,13342
2022-08-01,13036.9
2022-09-01,12959.5
2022-10-01,12790.3
2022-11-01,12689.5
2022-12-01,12548
2023-01-01,12330.5
2023-02-01,12073.2
2023-03-01,11777.1
2023-04-01,11525.1
2023-05-01,11271.5
2023-06-01,11215.2
2023-07-01,11148.7
2023-08-01,11091.4
2023-09-01,11015.7
2023-10-01,10870.4
