"Date","TABSLFBORR"
2009-03-01,1061
2009-04-01,5649
2009-05-01,12367
2009-06-01,22552
2009-07-01,27993
2009-08-01,33898
2009-09-01,41036
2009-10-01,42765
2009-11-01,43497
2009-12-01,46310
2010-01-01,47342
2010-02-01,46874
2010-03-01,47306
2010-04-01,46617
2010-05-01,44565
2010-06-01,43401
2010-07-01,41548
2010-08-01,37913
2010-09-01,32620
2010-10-01,29012
2010-11-01,26665
2010-12-01,25025
2011-01-01,23818
2011-02-01,21902
2011-03-01,19864
2011-04-01,17820
2011-05-01,15115
2011-06-01,13178
2011-07-01,12315
2011-08-01,11737
2011-09-01,11474
2011-10-01,11140
2011-11-01,10301
2011-12-01,9400
2012-01-01,8580
2012-02-01,7920
2012-03-01,7314
2012-04-01,6834
2012-05-01,6143
2012-06-01,5139
2012-07-01,4135
2012-08-01,3094
2012-09-01,1781
2012-10-01,1383
2012-11-01,1006
2012-12-01,760
2013-01-01,548
2013-02-01,454
2013-03-01,386
2013-04-01,380
2013-05-01,356
2013-06-01,267
2013-07-01,235
2013-08-01,158
2013-09-01,102
2013-10-01,101
2013-11-01,99
2013-12-01,98
2014-01-01,97
2014-02-01,96
2014-03-01,90
2014-04-01,82
2014-05-01,80
2014-06-01,60
2014-07-01,45
2014-08-01,34
2014-09-01,29
2014-10-01,13
2014-11-01,0
2014-12-01,0
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,55
2020-07-01,668
2020-08-01,2071
